Rank,Water Area (sq mi),City,State,Population
24801,0,'ewa Gentry, HI,"22,663"
24801,0,'ewa Villages, HI,"7,141"
2393,0.47,'ualapu'e, HI,445
23001,0,Aaronsburg, PA,687
23001,0,Aaronsburg CDP, PA,266
11521,0.01,Abanda, AL,43
8089,0.04,Abbeville, AL,"2,654"
8273,0.04,Abbeville, LA,"12,341"
8428,0.04,Abbeville, GA,"2,874"
11802,0.01,Abbeville, SC,"5,207"
17201,0,Abbeville, MS,512
29001,0,Abbotsford, WI,"2,134"
15718,0,Abbott, TX,431
13020,0.01,Abbottstown, PA,917
26601,0,Abbyville, KS,106
19601,0,Abercrombie, ND,251
917,1.71,Aberdeen, WA,"16,544"
3244,0.28,Aberdeen, OH,"1,617"
3264,0.28,Aberdeen, MS,"5,492"
5259,0.12,Aberdeen, NC,"6,702"
5573,0.1,Aberdeen, SD,"26,979"
13029,0.01,Aberdeen, MD,"15,137"
24801,0,Aberdeen, ID,"2,047"
25601,0,Aberdeen, IN,"1,831"
9442,0.03,Aberdeen Gardens, WA,236
1684,0.8,Aberdeen Proving Ground, MD,"2,411"
14595,0,Abernathy, TX,"3,247"
18801,0,Abeytas, NM,60
18201,0,Abie, NE,110
323,5.41,Abilene, TX,"120,776"
14557,0,Abilene, KS,"6,729"
12730,0.01,Abingdon, VA,"8,176"
24801,0,Abingdon, IL,"2,777"
3597,0.24,Abington, MA,"16,081"
16493,0,Abiquiu, NM,57
12400,0.01,Abita Springs, LA,"2,512"
4105,0.19,Abram, TX,"1,927"
29001,0,Abrams, WI,384
12821,0.01,Absarokee, MT,"1,074"
839,1.9,Absecon, NJ,"8,400"
24601,0,Acacia Villas, FL,614
21401,0,Acalanes Ridge, CA,"1,226"
21401,0,Acampo, CA,776
27401,0,Accident, MD,309
1100,1.37,Accokeek, MD,"10,806"
16232,0,Accomac, VA,485
7963,0.04,Accord, NY,765
13143,0.01,Accoville, WV,460
11993,0.01,Acequia, ID,123
16708,0,Achille, OK,493
24401,0,Ackerly, TX,122
10447,0.02,Ackerman, MS,"1,816"
13519,0.01,Ackermanville, PA,687
8733,0.03,Ackley, IA,"1,546"
26001,0,Ackworth, IA,39
14312,0,Acme, WA,310
5176,0.12,Acomita Lake, NM,377
22201,0,Acres Green, CO,"3,035"
9871,0.02,Acton, CA,"6,956"
10543,0.02,Acushnet Center, MA,"2,786"
2223,0.53,Acworth, GA,"21,169"
7110,0.06,Ada, OK,"17,061"
20001,0,Ada, OH,"6,112"
26601,0,Ada, KS,53
27601,0,Ada, MN,"1,702"
10870,0.02,Adair, IA,890
20401,0,Adair, OK,738
24801,0,Adair, IL,214
22601,0,Adair Village, OR,881
24601,0,Adairsville, GA,"4,692"
15279,0,Adairville, KY,"1,150"
44,34.18,Adak, AK,114
8988,0.03,Adams, MA,"5,460"
10743,0.02,Adams, ND,138
14037,0,Adams, WI,"1,570"
18201,0,Adams, NE,560
19001,0,Adams, NY,"1,612"
22601,0,Adams, OR,356
24201,0,Adams, TN,836
27601,0,Adams, MN,717
4864,0.14,Adams Center, NY,"1,996"
23001,0,Adamsburg, PA,259
13232,0.01,Adamstown, PA,"1,733"
15932,0,Adamstown, MD,"2,628"
7703,0.05,Adamsville, TN,"1,909"
11881,0.01,Adamsville, AL,"4,472"
20001,0,Adamsville, OH,126
23001,0,Adamsville, PA,62
24801,0,Addieville, IL,280
20401,0,Addington, OK,110
12685,0.01,Addis, LA,"4,004"
3874,0.21,Addison, IL,"37,215"
7958,0.04,Addison, MI,650
8876,0.03,Addison, AL,913
9701,0.02,Addison, WV,"1,133"
14568,0,Addison, TX,"14,594"
19001,0,Addison, NY,"1,809"
23001,0,Addison, PA,198
28601,0,Addy, WA,86
7225,0.06,Addyston, OH,970
4175,0.18,Adel, GA,"5,294"
13392,0.01,Adel, IA,"3,940"
10704,0.02,Adelanto, CA,"31,773"
24801,0,Adeline, IL,72
18801,0,Adelino, NM,809
11573,0.01,Adell, WI,465
14995,0,Adelphi, MD,"15,885"
16101,0,Adelphi, OH,399
20001,0,Adena, OH,689
13449,0.01,Adin, CA,215
26601,0,Admire, KS,120
21201,0,Adona, AR,114
4629,0.15,Adrian, MI,"21,008"
5951,0.09,Adrian, MO,"2,098"
7905,0.04,Adrian, GA,532
16604,0,Adrian, MN,"1,239"
22601,0,Adrian, OR,163
24401,0,Adrian, TX,218
6623,0.07,Advance, NC,"1,145"
9266,0.03,Advance, MI,269
16238,0,Advance, MO,"1,465"
25601,0,Advance, IN,488
11697,0.01,Adwolf, VA,"1,630"
22201,0,Aetna Estates, CO,"1,031"
17401,0,Affton, MO,"21,358"
1101,1.37,Afton, MN,"2,912"
6488,0.07,Afton, NY,"1,082"
20401,0,Afton, OK,930
20601,0,Afton, WY,"2,065"
26001,0,Afton, IA,917
23801,0,Agar, SD,58
1362,1.04,Agawam Town, MA,"28,626"
7573,0.05,Agency, MO,840
26001,0,Agency, IA,694
23801,0,Agency Village, SD,150
26601,0,Agenda, KS,87
9157,0.03,Agoura Hills, CA,"20,630"
20401,0,Agra, OK,314
26601,0,Agra, KS,268
13613,0.01,Agua Dulce, CA,"2,898"
24401,0,Agua Dulce, TX,722
24401,0,Agua Dulce CDP, TX,"2,926"
6245,0.08,Agua Fria, NM,"3,255"
21401,0,Aguanga, CA,897
21001,0,Aguila, AZ,901
22201,0,Aguilar, CO,563
24401,0,Aguilares, TX,50
27601,0,Ahmeek, MI,128
19401,0,Ahoskie, NC,"5,017"
28601,0,Ahtanum, WA,"3,785"
24801,0,Ahuimanu, HI,"8,728"
21401,0,Ahwahnee, CA,"2,165"
5466,0.11,Aiea, HI,"9,181"
4743,0.14,Aiken, SC,"29,980"
10481,0.02,Ailey, GA,595
24801,0,Ainaloa, HI,"3,645"
18201,0,Ainsworth, NE,"1,786"
26001,0,Ainsworth, IA,589
22201,0,Air Force Academy, CO,"6,046"
15360,0,Airmont, NY,"8,770"
12069,0.01,Airport, CA,"1,547"
17401,0,Airport Drive, MO,835
24401,0,Airport Heights, TX,95
24401,0,Airport Road Addition, TX,67
28601,0,Airway Heights, WA,"6,356"
27601,0,Aitkin, MN,"2,351"
21001,0,Ajo, AZ,"3,787"
21001,0,Ak Chin, AZ,25
21001,0,Ak-Chin Village, AZ,"1,195"
23801,0,Akaska, SD,35
9339,0.03,Akeley, MN,376
679,2.44,Akhiok, AK,103
12671,0.01,Akiachak, AK,590
1401,1.01,Akiak, AK,407
7682,0.05,Akins, OK,481
2908,0.34,Akron, OH,"198,492"
13498,0.01,Akron, PA,"3,923"
13717,0.01,Akron, AL,302
19001,0,Akron, NY,"2,850"
22201,0,Akron, CO,"1,906"
25601,0,Akron, IN,"1,337"
26001,0,Akron, IA,"1,364"
27601,0,Akron, MI,397
342,5.05,Akutan, AK,879
3215,0.29,Alabaster, AL,"30,978"
2725,0.38,Alachua, FL,"9,291"
5779,0.09,Alafaya, FL,"85,561"
167,10.04,Alakanuk, AK,733
13924,0,Alamance, NC,786
137,12.35,Alameda, CA,"75,763"
18801,0,Alamillo, NM,162
7303,0.05,Alamo, GA,"4,701"
10003,0.02,Alamo, ND,62
18601,0,Alamo, NV,939
18801,0,Alamo, NM,707
21401,0,Alamo, CA,"15,639"
24201,0,Alamo, TN,"2,423"
24401,0,Alamo, TX,"18,907"
25601,0,Alamo, IN,59
16786,0,Alamo Heights, TX,"7,397"
639,2.62,Alamo Lake, AZ,22
11694,0.01,Alamogordo, NM,"31,224"
5075,0.12,Alamosa, CO,"9,427"
22201,0,Alamosa East, CO,"1,671"
8992,0.03,Alanson, MI,585
24601,0,Alapaha, GA,684
21001,0,Alatna, AK,2
13292,0.01,Alba, TX,801
17401,0,Alba, MO,561
23001,0,Alba, PA,103
27601,0,Alba, MI,318
466,3.68,Albany, CA,"19,020"
1754,0.76,Albany, GA,"76,946"
2188,0.55,Albany, NY,"98,287"
3863,0.21,Albany, OR,"51,210"
5380,0.11,Albany, MN,"2,599"
7643,0.05,Albany, OK,115
9612,0.03,Albany, WI,"1,167"
11161,0.01,Albany, OH,"1,202"
12276,0.01,Albany, VT,204
13203,0.01,Albany, IN,"1,849"
13786,0.01,Albany, KY,"1,743"
17401,0,Albany, MO,"2,125"
20801,0,Albany, WY,40
24401,0,Albany, TX,"2,307"
24801,0,Albany, IL,"1,047"
27201,0,Albany, LA,"1,545"
23801,0,Albee, SD,7
4884,0.13,Albemarle, NC,"15,924"
24801,0,Albers, IL,"1,163"
26601,0,Albert, KS,158
26001,0,Albert City, IA,672
866,1.83,Albert Lea, MN,"17,931"
11529,0.01,Alberta, VA,279
27601,0,Alberta, MN,104
9507,0.03,Alberton, MT,476
19001,0,Albertson, NY,"5,154"
3321,0.27,Albertville, MN,"7,159"
5633,0.1,Albertville, AL,"21,363"
26001,0,Albia, IA,"3,788"
20801,0,Albin, WY,180
5562,0.1,Albion, MI,"8,416"
7818,0.05,Albion, IL,"2,139"
8420,0.04,Albion, CA,295
11382,0.01,Albion, PA,"1,526"
15352,0,Albion, OK,83
18201,0,Albion, NE,"1,721"
19001,0,Albion, NY,"5,799"
24801,0,Albion, ID,210
25601,0,Albion, IN,"2,347"
26001,0,Albion, IA,430
28601,0,Albion, WA,546
8111,0.04,Albright, WV,295
23001,0,Albrightsville, PA,154
870,1.82,Albuquerque, NM,"553,576"
28601,0,Alburg, VT,497
14959,0,Alburnett, IA,612
16229,0,Alburtis, PA,"2,372"
18801,0,Alcalde, NM,300
1583,0.86,Alcan Border, AK,33
23801,0,Alcester, SD,785
1496,0.92,Alcoa, TN,"8,556"
10132,0.02,Alcolu, SC,596
7348,0.05,Alcorn State University, MS,703
